"seller_id","category_name","year_month_order","gross_merchandise_value"
"1554a68530182680ad5c8b042c3ab563",furniture_decor,"2016-09",72.89
ecccfa2bb93b34a3bf033cc5d1dcdc69,health_beauty,"2016-09",134.97
a425f92c199eb576938df686728acd20,telephony,"2016-09",59.5
c7dcd301ecfe5ab7f778ac172cf74be7,air_conditioning,"2016-10",299.99
ed859002ad59dbf8cf3602696a6c3000,air_conditioning,"2016-10",1407.1001
"5f0057b677eb963672bf05dfa3f16c34",audio,"2016-10",156.99
"2b1a40c1daabc6ca280c4b815c101841",auto,"2016-10",390.0
"5206cc4bc2297c833e6061c49bf9c43f",auto,"2016-10",35.0
"63b9ae557efed31d1f7687917d248a8d",auto,"2016-10",10.0
"6cf476a4ca74498db55cbccdaa9dcfb6",auto,"2016-10",499.99
"710e3548e02bc1d2831dfc4f1b5b14d4",auto,"2016-10",49.99
a7f13822ceb966b076af67121f87b063,auto,"2016-10",279.99
bd4ff04377f974574f7f0bf9d6ce7dde,auto,"2016-10",49.99
ce27a3cc3c8cc1ea79d11e561e9bebb6,auto,"2016-10",9.9
ed859002ad59dbf8cf3602696a6c3000,auto,"2016-10",294.9
fa5fdc4e4bb6bd1009ad0e4ac4096562,auto,"2016-10",161.99
ffff564a4f9085cd26170f4732393726,auto,"2016-10",51.5
"25e6ffe976bd75618accfe16cefcbd0d",baby,"2016-10",100.0
"3d01d1c414c44b5943a09619ff3853cb",baby,"2016-10",99.0
"46dc3b2cc0980fb8ec44634e21d2718e",baby,"2016-10",779.97
"61f159ef6da2d441951d2c0efa719362",baby,"2016-10",59.99
"827f8f69dfa529c561901c4f2e0f332f",baby,"2016-10",27.9
a3a38f4affed601eb87a97788c949667,baby,"2016-10",159.9
cca3071e3e9bb7d12640c9fbe2301306,baby,"2016-10",279.6
f5b84683a9bf9e1df748cf40f601b39c,baby,"2016-10",83.9
fedaedd3ca31d56ab33e92035e4b361c,baby,"2016-10",39.9
"0c8380b62e38e8a1e6adbeba7eb9688c",bed_bath_table,"2016-10",59.489998
c43d924a0f1688ee9fae0efcd6f539d4,bed_bath_table,"2016-10",29.9
cca3071e3e9bb7d12640c9fbe2301306,bed_bath_table,"2016-10",219.70001
dd2bdf855a9172734fbc3744021ae9b9,bed_bath_table,"2016-10",169.9
"83e197e95a1bbabc8c75e883ed016c47",books_general_interest,"2016-10",119.5
"4be2e7f96b4fd749d52dff41f80e39dd",books_technical,"2016-10",267.0
"0db783cfcd3b73998abc6e10e59a102f",computers_accessories,"2016-10",70.0
"229c3efbfb0ea2058de4ccdfbc3d784a",computers_accessories,"2016-10",75.0
"2f4b9d112bfa44a214bc6cef085d17c8",computers_accessories,"2016-10",18.9
"4e922959ae960d389249c378d1c939f5",computers_accessories,"2016-10",19.0
"85d9eb9ddc5d00ca9336a2219c97bb13",computers_accessories,"2016-10",20.9
"897060da8b9a21f655304d50fd935913",computers_accessories,"2016-10",801.3
"8c16d1f32a54d92897cc437244442e1b",computers_accessories,"2016-10",112.77
afa6714acee029b2dfdf357e5579cc03,computers_accessories,"2016-10",119.9
d03698c2efd04a549382afa6623e27fb,computers_accessories,"2016-10",161.55
"4b1eaadf791bdbbad8c4a35b65236d52",consoles_games,"2016-10",222.39
"522620dcb18a6b31cd7bdf73665113a9",consoles_games,"2016-10",678.9
"822b63912576852aea9a8436d72317b7",consoles_games,"2016-10",2849.97
ce27a3cc3c8cc1ea79d11e561e9bebb6,consoles_games,"2016-10",131.0
"01cf7e3d21494c41fb86034f2e714fa1",cool_stuff,"2016-10",69.9
